"id","scan_time","pages","count_broken_link","mobile","count_images","count_alt_image","hl1","hl2","hl3","count_flash","count_script","count_frame","count_iframe","count_in_linked","count_out_linked","google","SNSuse","server"
"16417","37.77461266517639","91","3","1","497","227","74","41","9","0","702","0","5","91","10","204","1","LiteSpeed"
"16419","199.08989000320435","561","0","0","16997","2244","549","545","658","934","7166","2","943","681","74","240","1","Apache"
"16420","53.303160429000854","215","1","0","2919","644","0","0","0","0","1915","0","200","298","2","40","0","Apache"
"16421","13.664252519607544","51","0","0","263","263","92","53","304","0","500","0","3","50","5","49","0","nginx"
"16424","10.001074075698853","64","3","1","364","335","10","108","13","0","825","0","4","64","7","103","0","nginx"
"16426","79.36911511421204","335","7","1","2580","74","167","410","0","0","3139","0","16","576","12","176","0","nginx"
"16427","9.897557497024536","52","1","0","346","124","0","0","0","0","313","0","1","99","7","7","0","Apache/2.4.52 () OpenSSL/1.0.2k-fips mod_fcgid/2.3.9"
"16428","9.942575931549072","36","1","0","868","206","34","0","108","16","388","2","17","50","9","72","0","Apache"
"16430","1368.2413878440857","2443","252","1","28694","21293","4302","552","170","0","28558","0","320","2559","2616","55","1","nginx"
"16431","100.60047698020935","33","3","1","85","26","0","46","139","0","457","0","3","33","73","408","0","Apache"
"16434","15.810523271560669","64","5","0","1069","34","0","0","3","0","236","0","0","37","47","150","0","Microsoft-IIS/5.0"
"16436","137.20523238182068","508","2","0","5134","0","0","0","0","0","6910","0","2","346","372","688","0","nginx"
"16437","149.0601122379303","377","3","1","2494","65","1","622","0","0","4151","0","34","371","164","409","1","Apache"
"16438","33.08071184158325","117","32","0","1951","0","0","0","0","395","264","0","0","117","8","121","0","Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/1.0.0-fips PHP/5.3.18"
"16440","40.727524518966675","69","0","1","388","97","218","6","13","0","2020","0","8","106","10","377","1","nginx"
"16441","18.902304649353027","86","1","0","2653","2304","140","150","54","0","267","0","0","93","4","235","0","Microsoft-IIS/8.5"
"16442","1.3996543884277344","7","0","1","43","0","0","0","0","0","30","0","0","7","3","74","0","Apache/2.2.4 (Unix) PHP/5.2.1 DAV/2"
"16443","47.3420684337616","87","10","1","200","136","140","0","214","0","960","0","8","88","4","28","0","Microsoft-IIS/8.5"
"16444","44.533406496047974","109","4","0","1268","323","101","103","0","0","594","1","1","109","2","5","0","nginx"
"16446","9.041280746459961","35","0","1","188","121","0","97","50","0","492","0","4","34","6","477","0","Apache"
"16447","62.76684379577637","201","0","1","12682","24","7","7","165","7","781","0","6","201","24","397","0","Microsoft-IIS/10.0"
"16448","101.3288152217865","223","0","0","11161","10950","221","219","227","0","2571","0","0","1359","9","128","0","Microsoft-IIS/5.0"
"16449","160.3284397125244","378","0","1","1696","1050","32","61","0","0","1392","0","24","444","97","12500","1",""
"16451","159.22785663604736","68","0","0","2720","12","0","0","15","0","360","6","3","72","7","18900","0","Microsoft-IIS/7.5"
"16452","58.42552924156189","251","1","1","895","43","0","59","33","0","429","0","5","473","29","1","0","Apache"
"16455","163.33834266662598","279","43","1","839","690","30","745","11","0","6705","0","21","500","24","301","1","Microsoft-IIS/5.0"
"16456","785.5713329315186","863","0","1","13286","9227","1323","3186","1106","0","17596","0","1344","11","3272","1460","1","awselb/2.0"
"16457","61.45732522010803","185","25","1","813","229","117","224","30","0","2363","0","10","293","25","37","0","nginx"
"16458","294.96899676322937","516","1","1","2325","2241","462","2769","635","0","4969","0","5","866","969","7960","1",\N
"16459","44.01265239715576","124","5","0","3091","2393","115","114","29","103","2155","2","238","142","21","93","0","Apache"
"16460","576.2678256034851","207","18","1","560","22","154","180","1620","0","7425","0","2","218","91","11000","0","Microsoft-IIS/8.5"
"16461","21.19758653640747","53","10","0","919","895","31","56","51","0","226","0","21","59","25","402","0","Apache/2.2.20 (Unix) mod_ssl/2.2.20 OpenSSL/0.9.8e-fips-rhel5 DAV/2 PHP/5.2.17"
"16462","139.84024572372437","163","13","1","1809","6","10","2","0","121","1426","0","2","248","1016","8","1","Microsoft-IIS/5.0"
"16463","274.5439841747284","289","30","0","2832","9","95","30","3","386","5277","0","213","451","37","0","1","nginx"
"16464","22.660221815109253","125","0","0","1454","420","0","0","0","0","253","0","9","127","12","124","0","nginx"
"16465","112.047696352005","246","24","0","2529","442","0","0","0","0","1667","0","117","257","21","961","0","Apache/2.4.10 (Unix) OpenSSL/1.0.1e-fips PHP/4.4.9"
"16466","835.0186297893524","310","3","1","661","81","452","477","125","0","5823","0","3","660","267","349","1","Apache"
"16467","7.045477390289307","30","3","0","647","619","26","2","24","0","116","0","0","32","3","31","0","Apache"
"16469","15.214227199554443","76","8","1","71","54","103","31","13","0","457","0","6","135","15","136","0","nginx"
